day,data_usage,extra
2026-04-01,22.83 GB,Wednesday | April 2026
2026-04-02,18.45 GB,Thursday | April 2026
2026-04-03,9.46 GB,Friday | April 2026
2026-04-04,16.38 GB,Saturday | April 2026
2026-04-05,14.07 GB,Sunday | April 2026
2026-04-06,17.3 GB,Monday | April 2026
2026-04-07,16.15 GB,Tuesday | April 2026
2026-04-08,19.61 GB,Wednesday | April 2026
2026-04-09,16.38 GB,Thursday | April 2026
2026-04-10,20.53 GB,Friday | April 2026
2026-04-11,12.22 GB,Saturday | April 2026
2026-04-12,13.15 GB,Sunday | April 2026
2026-04-13,14.07 GB,Monday | April 2026
2026-04-14,9.69 GB,Tuesday | April 2026
2026-04-15,11.99 GB,Wednesday | April 2026
2026-04-16,14.53 GB,Thursday | April 2026
2026-04-17,12.92 GB,Friday | April 2026
2026-04-18,12.69 GB,Saturday | April 2026
2026-04-19,7.15 GB,Sunday | April 2026
2026-04-20,8.53 GB,Monday | April 2026
2026-04-21,19.37 GB,Tuesday | April 2026
2026-04-22,15.45 GB,Wednesday | April 2026
2026-04-23,13.61 GB,Thursday | April 2026
2026-04-24,4.84 GB,Friday | April 2026
2026-04-25,17.3 GB,Saturday | April 2026
2026-04-26,21.68 GB,Sunday | April 2026
2026-04-27,21.45 GB,Monday | April 2026
2026-04-28,6.0 GB,Tuesday | April 2026
2026-04-29,22.37 GB,Wednesday | April 2026
2026-04-30,28.83 GB,Thursday | April 2026
